sentiment,description
negative,Cartrade IPO got listing today at Rs 1600 which is down by 1.2 percent from the IPO price and now trading down by around 7.1 percent from the IPO price. We suggest investors who have received the allotment hold the share for a short time as we expect the stock to show some recovery in the near future. We are not recommending investors to do fresh buying in the stock. Currently the company is trading at price to earnings of 68 times the company has reported improvement in financial performance in the last 3 years. In the times of covid pandemic company's net profit has increased from Rs 31 crore in FY2020 to Rs 101 crore in FY2021.
negative,Bharti Airtel has approached the Supreme Court with a review petition seeking correction of 'arithmetical errors' in calculations linked to the adjusted gross revenue (AGR). The second-largest telecom company had filed a similar petition in the SC earlier as well but the court disallowed any rectification of 'arithmetical errors' in the calculation of AGR dues.
negative,Bharti Airtel claims that it owes DoT Rs 13004 crore and has already paid Rs 18000 crore to the department. The telco claimed the AGR dues incorrectly include duplication in revenue addition without factoring in the payments already made by the company and incorrect interest rate for calculating spectrum usage charges (SUC) among others
positive,HDFC Bank typically adopts an aggressive stance during the festive season. It offers various discounts on Consumer Durables to drive spends and accelerate growth in Consumer Durable Financing. The lifting of RBI restrictions before the festive season thus augurs well. We expect the bank to turn more aggressive on Credit Cards over the next few months.
positive,HDFC Bank has underperformed and has been range bound over the last couple of months owing to pressure on NII growth and margin. The lifting of these restrictions thus addresses the key overhang. We expect growth trends to revive in Retail especially in the Unsecured Lending segment in coming quarters. The bank continues to make additional contingent provisions to further strengthen its Balance Sheet against any potential COVID-19 impact and expects stress formation to remain under control. We maintain our Buy rating with a TP of Rs 1800 per share.
positive,Zydus Pharmaceuticals Inc USA a 100 percent subsidiary of Cadila Healthcare has signed a license and supply agreement with CHEMI SpA of Italy a subsidiary of Italfarmaco Group to launch the generic equivalent of Sanofi Aventis’s branded product Lovenox® (Enoxaparin Sodium Injection) in seven dosage strengths in the United States (US).
neutral,Under the agreement CHEMI will manufacture and supply the Enoxaparin Sodium Injection which Zydus will commercialize in the US
positive,Given the situation that the bank is revamping its IT infrastructure and probably trying to come out of the glitches and the problem that they have given the fact that they have taken care of entire finance through the tech in order to create a larger fintech kind of a set-up for themselves I would rather like to believe that the bank could emerge stronger and this could be one of the opportunity where stock price has outperformed for last many months it could be an opportunity for investors to buy for long term investments in their portfolio.
neutral,I think they are reluctant in getting into the electric vehicle (EV) space. I don't know I think I feel that every company whoever is basically in the market probably will have to look at this space very seriously. If you are delayed well quite possible I think the second entry would be slightly costly for such companies and that is where I think I am slightly more mindful of the strategy which Eicher Motors is playing they would like to I think get into EV space little late as it appears right now from their commentary so I think this is putting in a little bit cautious mode.
negative,The market capitalisation of FMCG giant Hindustan Unilever Ltd (HUL) crossed Rs 6 lakh crore as the shares hit a 52-week high of Rs 2559.90 apiece on the BSE rising more than 3 percent. There has been a stellar rise in HUL shares over the last 3 years even as it has underperformed in the last 12 months. Writes CNBC-TV18’s Mangalam Maloo. In 2017 HUL market cap was Rs 1.8 lakh crore lower than its peer ITC’s Rs 2.9 lakh crore. By the end of 2018 HUL crossed ITC’s market cap. Three years later HUL is now at Rs 6 lakh crore while ITC is still at Rs 2.57 lakh crore due to its underperformance.
positive,The company has received export orders valued at close to $11 million from Western Hemisphere. SSWL will complete their execution by December 2021 from its Chennai & Dappar plants. Orders of similar capacity are anticipated in coming months from a similar customer base as businesses continue to recover rapidly the company said.
negative,The US Fed has indicated that it will at some point this year taper its purchases of bonds. It has spooked the markets; global equities fell 3-4 percent yesterday. The dollar index has strengthened at 93.5 and crude has seen a sharp dip to $66/bbl. Mark Matthews of Bank Julius Baer & Co discussed what should be the approach of investors.
negative,He believes that the market is not worried about taper and that in a sense worries him. “Because it is always the things that we are not worried about that take the market down” he said.
negative,USD/INR August opened on almost on a flat note and was moving in a marginally sideways to Bearish trend since morning prices have again made a “Head and Shoulders” candlestick chart pattern on 15-Minute chart which is Bearish pattern that we discussed in past few sessions the neckline of this pattern is resting at 74.31-74.29 support zone which is a very relevant support zone and has been respected in previous sessions too. Closing below this zone on intraday charts or on Daily charts will pull down prices very rapidly to even lower levels of 74.25-74.23 which is the next immediate support zone. While on the upside 74.49-74.51 may be seen acting as a relevant resistance area.
negative,Oil prices rose on Friday pulling up from three-month lows but they were still on track for a weekly loss of over 5% as new lockdowns in countries facing surging cases of the Delta variant dampened the outlook for fuel demand. Broader investor risk aversion also weighed on oil with the U.S. dollar jumping to a nine-month high on signs the US Federal Reserve is considering reducing stimulus this year.
positive,US West Texas Intermediate (WTI) crude futures for September due to expire on Friday rose 40 cents or 0.6% to $64.09 a barrel at 0458 GMT after sliding 2.7% on Thursday. The more active October contract rose 39 cents or 0.6% to $63.89 per barrel. Brent crude futures rose 32 cents or 0.5% to $66.77 a barrel after dropping 2.6% on Thursday to its lowest close since May
negative,Shree Cement is in focus as the stock price has corrected 12 percent since August 12. The street had expected a big beat like its peers however the numbers were in line with estimates which has made the stock jittery. CNBC-TV18's Nigel D’Souza compares Shree Cement's Q1 earnings with peers.
